/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-20 21:22:30:025 0 sec: 0 operations; est completion in 0 second 
2020-03-20 21:22:40:009 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-20 21:22:50:009 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(1, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
2020-03-20 21:23:00:009 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Loading oblivious tables.
2020-03-20 21:23:10:009 40 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-20 21:33:00:009 583 sec: 154941 operations; 263.7 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2637, Max=9399, Min=3214, Avg=3784.05, 90=3873, 99=6435, 99.9=9359, 99.99=9399] 
2020-03-20 21:33:10:009 593 sec: 157575 operations; 263.4 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2634, Max=9351, Min=3340, Avg=3789.21, 90=3871, 99=6539, 99.9=9295, 99.99=9351] 
2020-03-20 21:33:20:009 603 sec: 160237 operations; 266.2 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2662, Max=9311, Min=3120, Avg=3748.52, 90=3879, 99=5443, 99.9=9231, 99.99=9311] 
2020-03-20 21:33:30:009 613 sec: 162873 operations; 263.6 current ops/sec; est completion in 10 hours 18 minutes [READ: Count=2636, Max=9527, Min=3340, Avg=3785.16, 90=3877, 99=6051, 99.9=9271, 99.99=9527] 
2020-03-20 21:33:40:009 623 sec: 165506 operations; 263.3 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2633, Max=9487, Min=3184, Avg=3789.77, 90=3883, 99=6563, 99.9=9343, 99.99=9487] 
2020-03-20 21:33:50:009 633 sec: 168155 operations; 264.9 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2649, Max=9311, Min=3228, Avg=3766.91, 90=3871, 99=5475, 99.9=9295, 99.99=9311] 
2020-03-20 21:34:00:009 643 sec: 170791 operations; 263.6 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2636, Max=9311, Min=3294, Avg=3785.82, 90=3867, 99=6403, 99.9=9223, 99.99=9311] 
2020-03-20 21:34:10:009 653 sec: 173429 operations; 263.8 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2638, Max=9319, Min=3344, Avg=3781.34, 90=3875, 99=6507, 99.9=9255, 99.99=9319] 
2020-03-20 21:34:20:009 663 sec: 176055 operations; 262.6 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2626, Max=9215, Min=3370, Avg=3800.64, 90=3901, 99=5651, 99.9=9183, 99.99=9215] 
2020-03-20 21:34:30:009 673 sec: 178691 operations; 263.6 current ops/sec; est completion in 10 hours 17 minutes [READ: Count=2636, Max=9255, Min=3316, Avg=3784.31, 90=3897, 99=4847, 99.9=9047, 99.99=9255] 
