2020-03-22 16:29:41:163 427 sec: 67373 operations; 158.2 current ops/sec; est completion in 17 hours 30 minutes [READ: Count=1582, Max=14543, Min=5552, Avg=6312.13, 90=6431, 99=7959, 99.9=14367, 99.99=14543] 
2020-03-22 16:29:51:163 437 sec: 68962 operations; 158.9 current ops/sec; est completion in 17 hours 29 minutes [READ: Count=1589, Max=14407, Min=5672, Avg=6284.31, 90=6419, 99=6607, 99.9=14359, 99.99=14407] 
2020-03-22 16:30:01:162 447 sec: 70534 operations; 157.2 current ops/sec; est completion in 17 hours 29 minutes [READ: Count=1572, Max=14487, Min=5680, Avg=6350.08, 90=6435, 99=9287, 99.9=14431, 99.99=14487] 
2020-03-22 16:30:11:162 457 sec: 72121 operations; 158.7 current ops/sec; est completion in 17 hours 29 minutes [READ: Count=1587, Max=14559, Min=5716, Avg=6294.41, 90=6419, 99=8415, 99.9=14423, 99.99=14559] 
2020-03-22 16:30:21:162 467 sec: 73708 operations; 158.7 current ops/sec; est completion in 17 hours 29 minutes [READ: Count=1587, Max=14375, Min=5500, Avg=6290.6, 90=6423, 99=7631, 99.9=14303, 99.99=14375] 
2020-03-22 16:30:31:162 477 sec: 75302 operations; 159.4 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1594, Max=14359, Min=5412, Avg=6267.19, 90=6415, 99=9111, 99.9=14191, 99.99=14359] 
2020-03-22 16:30:41:162 487 sec: 76886 operations; 158.4 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1585, Max=14407, Min=5604, Avg=6301.46, 90=6415, 99=9135, 99.9=14351, 99.99=14407] 
2020-03-22 16:30:51:162 497 sec: 78483 operations; 159.7 current ops/sec; est completion in 17 hours 28 minutes [READ: Count=1596, Max=14127, Min=5628, Avg=6253.96, 90=6419, 99=6699, 99.9=14031, 99.99=14127] 
2020-03-22 16:31:01:163 507 sec: 80069 operations; 158.6 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1586, Max=14391, Min=5628, Avg=6299.43, 90=6419, 99=7619, 99.9=14375, 99.99=14391] 
2020-03-22 16:31:11:162 517 sec: 81647 operations; 157.8 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1578, Max=14487, Min=5792, Avg=6327.53, 90=6439, 99=8591, 99.9=14407, 99.99=14487] 
2020-03-22 16:31:21:162 527 sec: 83228 operations; 158.1 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1581, Max=14375, Min=5736, Avg=6313.92, 90=6431, 99=7639, 99.9=14327, 99.99=14375] 
2020-03-22 16:31:31:163 537 sec: 84816 operations; 158.8 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1589, Max=14359, Min=5636, Avg=6287.66, 90=6427, 99=8027, 99.9=14247, 99.99=14359] 
2020-03-22 16:31:41:162 547 sec: 86398 operations; 158.2 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1581, Max=14479, Min=5704, Avg=6313.74, 90=6431, 99=8927, 99.9=14455, 99.99=14479] 
2020-03-22 16:31:51:162 557 sec: 87991 operations; 159.3 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1593, Max=14231, Min=5600, Avg=6270.28, 90=6423, 99=6787, 99.9=14167, 99.99=14231] 
2020-03-22 16:32:01:162 567 sec: 89575 operations; 158.4 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1584, Max=14311, Min=5772, Avg=6304.69, 90=6423, 99=7987, 99.9=14287, 99.99=14311] 
2020-03-22 16:32:11:162 577 sec: 91146 operations; 157.1 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1571, Max=14591, Min=5848, Avg=6353.36, 90=6435, 99=9223, 99.9=14527, 99.99=14591] 
2020-03-22 16:32:21:163 587 sec: 92726 operations; 158 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1580, Max=14423, Min=5612, Avg=6323.61, 90=6431, 99=9023, 99.9=14311, 99.99=14423] 
