2020-03-27 14:29:04:566 557 sec: 6388 operations; 11.7 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=117, Max=167167, Min=15600, Avg=85325.2, 90=156671, 99=158335, 99.9=167167, 99.99=167167] 
2020-03-27 14:29:14:566 567 sec: 6495 operations; 10.7 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=107, Max=158591, Min=15672, Avg=93261.42, 90=157567, 99=158591, 99.9=158591, 99.99=158591] 
2020-03-27 14:29:24:566 577 sec: 6610 operations; 11.5 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=115, Max=171135, Min=15448, Avg=87186.3, 90=142847, 99=158463, 99.9=171135, 99.99=171135] 
2020-03-27 14:29:34:566 587 sec: 6730 operations; 12 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=120, Max=158207, Min=15696, Avg=83335.43, 90=142335, 99=157951, 99.9=158207, 99.99=158207] 
2020-03-27 14:29:44:566 597 sec: 6848 operations; 11.8 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=118, Max=158591, Min=15592, Avg=84436.64, 90=142207, 99=158079, 99.9=158591, 99.99=158591] 
2020-03-27 14:29:54:566 607 sec: 6960 operations; 11.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=112, Max=171263, Min=15728, Avg=89618.11, 90=142591, 99=171263, 99.9=171263, 99.99=171263] 
2020-03-27 14:30:04:566 617 sec: 7082 operations; 12.2 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=122, Max=171007, Min=15624, Avg=81898, 90=142207, 99=158207, 99.9=171007, 99.99=171007] 
2020-03-27 14:30:14:566 627 sec: 7202 operations; 12 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=120, Max=157951, Min=15640, Avg=83184.07, 90=142079, 99=157823, 99.9=157951, 99.99=157951] 
2020-03-27 14:30:24:566 637 sec: 7320 operations; 11.8 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=118, Max=170367, Min=15624, Avg=84223.63, 90=142463, 99=158207, 99.9=170367, 99.99=170367] 
2020-03-27 14:30:34:566 647 sec: 7429 operations; 10.9 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=109, Max=158719, Min=15720, Avg=91970.83, 90=157311, 99=158335, 99.9=158719, 99.99=158719] 
2020-03-27 14:30:44:566 657 sec: 7537 operations; 10.8 current ops/sec; est completion in 10 days 1 hour [SCAN: Count=108, Max=158591, Min=15760, Avg=93040.41, 90=142847, 99=158207, 99.9=158591, 99.99=158591] 
2020-03-27 14:30:54:566 667 sec: 7645 operations; 10.8 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=108, Max=158463, Min=15632, Avg=92024.52, 90=157567, 99=158463, 99.9=158463, 99.99=158463] 
2020-03-27 14:31:04:566 677 sec: 7747 operations; 10.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=102, Max=159743, Min=15672, Avg=97820.86, 90=157183, 99=159231, 99.9=159743, 99.99=159743] 
2020-03-27 14:31:14:566 687 sec: 7863 operations; 11.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=116, Max=158591, Min=15656, Avg=86190.69, 90=142591, 99=158463, 99.9=158591, 99.99=158591] 
2020-03-27 14:31:24:566 697 sec: 7984 operations; 12.1 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=121, Max=171263, Min=15552, Avg=83138.61, 90=142335, 99=158463, 99.9=171263, 99.99=171263] 
2020-03-27 14:31:34:566 707 sec: 8096 operations; 11.2 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=112, Max=158847, Min=15736, Avg=88749.96, 90=154879, 99=158591, 99.9=158847, 99.99=158847] 
2020-03-27 14:31:44:566 717 sec: 8212 operations; 11.6 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=116, Max=158335, Min=15704, Avg=86448.41, 90=142463, 99=158207, 99.9=158335, 99.99=158335] 
2020-03-27 14:31:54:567 727 sec: 8322 operations; 11 current ops/sec; est completion in 10 days 2 hours [SCAN: Count=110, Max=158847, Min=15616, Avg=91207.02, 90=142207, 99=158335, 99.9=158847, 99.99=158847] 
