2020-03-29 06:40:31:828 272 sec: 3735 operations; 14.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=141, Max=162943, Min=4380, Avg=70740.91, 90=130303, 99=144767, 99.9=162943, 99.99=162943] 
2020-03-29 06:40:41:828 282 sec: 3875 operations; 14 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=140, Max=144895, Min=4440, Avg=71577.39, 90=128063, 99=138111, 99.9=144895, 99.99=144895] 
2020-03-29 06:40:51:828 292 sec: 4016 operations; 14.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=141, Max=151679, Min=4512, Avg=70797.02, 90=128447, 99=149887, 99.9=151679, 99.99=151679] 
2020-03-29 06:41:01:828 302 sec: 4145 operations; 12.9 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=129, Max=139135, Min=4528, Avg=77298.34, 90=130303, 99=138751, 99.9=139135, 99.99=139135] 
2020-03-29 06:41:11:828 312 sec: 4278 operations; 13.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=133, Max=174335, Min=4608, Avg=74932.72, 90=127743, 99=147071, 99.9=174335, 99.99=174335] 
2020-03-29 06:41:21:828 322 sec: 4423 operations; 14.5 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=145, Max=149119, Min=4560, Avg=69163.49, 90=123711, 99=144255, 99.9=149119, 99.99=149119] 
2020-03-29 06:41:31:828 332 sec: 4554 operations; 13.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=131, Max=150015, Min=4520, Avg=76160.44, 90=132479, 99=149759, 99.9=150015, 99.99=150015] 
2020-03-29 06:41:41:828 342 sec: 4685 operations; 13.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=131, Max=143999, Min=4568, Avg=76648.03, 90=128447, 99=142207, 99.9=143999, 99.99=143999] 
2020-03-29 06:41:51:828 352 sec: 4818 operations; 13.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=133, Max=149759, Min=4424, Avg=74710.74, 90=132991, 99=149631, 99.9=149759, 99.99=149759] 
2020-03-29 06:42:01:828 362 sec: 4959 operations; 14.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=141, Max=148863, Min=4492, Avg=70685.38, 90=127935, 99=144767, 99.9=148863, 99.99=148863] 
2020-03-29 06:42:11:829 372 sec: 5093 operations; 13.4 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=134, Max=150271, Min=4196, Avg=75011.57, 90=131839, 99=150143, 99.9=150271, 99.99=150271] 
2020-03-29 06:42:21:828 382 sec: 5233 operations; 14 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=140, Max=140543, Min=4042, Avg=71379.24, 90=126207, 99=138623, 99.9=140543, 99.99=140543] 
2020-03-29 06:42:31:828 392 sec: 5374 operations; 14.1 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=141, Max=141951, Min=4472, Avg=70570.23, 90=125439, 99=141055, 99.9=141951, 99.99=141951] 
2020-03-29 06:42:41:828 402 sec: 5521 operations; 14.7 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=147, Max=150015, Min=4396, Avg=68297.02, 90=123967, 99=139007, 99.9=150015, 99.99=150015] 
2020-03-29 06:42:51:828 412 sec: 5664 operations; 14.3 current ops/sec; est completion in 8 days 10 hours [SCAN: Count=143, Max=145663, Min=4568, Avg=69832.94, 90=123839, 99=144767, 99.9=145663, 99.99=145663] 
2020-03-29 06:43:01:828 422 sec: 5808 operations; 14.4 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=144, Max=141439, Min=4512, Avg=69560.43, 90=123711, 99=133887, 99.9=141439, 99.99=141439] 
2020-03-29 06:43:11:828 432 sec: 5949 operations; 14.1 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=141, Max=156799, Min=4356, Avg=70886.17, 90=124671, 99=140799, 99.9=156799, 99.99=156799] 
2020-03-29 06:43:21:828 442 sec: 6092 operations; 14.3 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=143, Max=151039, Min=4208, Avg=69984.64, 90=123967, 99=149759, 99.9=151039, 99.99=151039] 
2020-03-29 06:43:31:828 452 sec: 6230 operations; 13.8 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=138, Max=156543, Min=4604, Avg=72037.97, 90=126271, 99=150271, 99.9=156543, 99.99=156543] 
