2020-03-29 05:34:57:111 551 sec: 7588 operations; 14.1 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=141, Max=146431, Min=4536, Avg=70344.91, 90=124927, 99=146431, 99.9=146431, 99.99=146431] 
2020-03-29 05:35:07:112 561 sec: 7728 operations; 14 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=140, Max=158591, Min=4348, Avg=71413.53, 90=130815, 99=151039, 99.9=158591, 99.99=158591] 
2020-03-29 05:35:17:111 571 sec: 7875 operations; 14.7 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=147, Max=152063, Min=4496, Avg=68192.3, 90=124415, 99=139135, 99.9=152063, 99.99=152063] 
2020-03-29 05:35:27:111 581 sec: 8015 operations; 14 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=140, Max=146687, Min=4544, Avg=71458.81, 90=124991, 99=139775, 99.9=146687, 99.99=146687] 
2020-03-29 05:35:37:111 591 sec: 8157 operations; 14.2 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=142, Max=150655, Min=4492, Avg=69797.68, 90=124223, 99=139135, 99.9=150655, 99.99=150655] 
2020-03-29 05:35:47:111 601 sec: 8297 operations; 14 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=140, Max=152319, Min=4540, Avg=72103.79, 90=124607, 99=151423, 99.9=152319, 99.99=152319] 
2020-03-29 05:35:57:111 611 sec: 8451 operations; 15.4 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=154, Max=145535, Min=4528, Avg=64849.44, 90=125119, 99=144767, 99.9=145535, 99.99=145535] 
2020-03-29 05:36:07:111 621 sec: 8599 operations; 14.8 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=148, Max=139263, Min=4524, Avg=67733.84, 90=124415, 99=138751, 99.9=139263, 99.99=139263] 
2020-03-29 05:36:17:111 631 sec: 8732 operations; 13.3 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=133, Max=146431, Min=4588, Avg=75237.43, 90=129471, 99=145663, 99.9=146431, 99.99=146431] 
2020-03-29 05:36:27:112 641 sec: 8868 operations; 13.6 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=136, Max=141183, Min=4552, Avg=73517.24, 90=130175, 99=141055, 99.9=141183, 99.99=141183] 
2020-03-29 05:36:37:111 651 sec: 9004 operations; 13.6 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=136, Max=141183, Min=4556, Avg=73343.96, 90=124287, 99=138367, 99.9=141183, 99.99=141183] 
2020-03-29 05:36:47:111 661 sec: 9144 operations; 14 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=140, Max=151551, Min=8480, Avg=71030.31, 90=124223, 99=150783, 99.9=151551, 99.99=151551] 
2020-03-29 05:36:57:111 671 sec: 9286 operations; 14.2 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=142, Max=151039, Min=4344, Avg=70747.54, 90=124351, 99=145279, 99.9=151039, 99.99=151039] 
2020-03-29 05:37:07:111 681 sec: 9421 operations; 13.5 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=135, Max=142847, Min=4500, Avg=74240.31, 90=129535, 99=142207, 99.9=142847, 99.99=142847] 
2020-03-29 05:37:17:111 691 sec: 9550 operations; 12.9 current ops/sec; est completion in 8 days 9 hours [SCAN: Count=129, Max=162687, Min=4384, Avg=77288.95, 90=132479, 99=151807, 99.9=162687, 99.99=162687] 
2020-03-29 05:37:27:112 701 sec: 9693 operations; 14.3 current ops/sec; est completion in 8 days 8 hours [SCAN: Count=143, Max=146303, Min=4300, Avg=69646.88, 90=123647, 99=139391, 99.9=146303, 99.99=146303] 
