2020-03-29 02:00:05:250 302 sec: 6171 operations; 19.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=194, Max=98943, Min=4456, Avg=51542.95, 90=85887, 99=98367, 99.9=98943, 99.99=98943] 
2020-03-29 02:00:15:250 312 sec: 6361 operations; 19 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=190, Max=98303, Min=4092, Avg=52629.35, 90=87871, 99=98111, 99.9=98303, 99.99=98303] 
2020-03-29 02:00:25:250 322 sec: 6572 operations; 21.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=211, Max=93567, Min=4496, Avg=47443.12, 90=83647, 99=92415, 99.9=93567, 99.99=93567] 
2020-03-29 02:00:35:250 332 sec: 6779 operations; 20.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=207, Max=129855, Min=4520, Avg=48084.52, 90=86143, 99=105919, 99.9=129855, 99.99=129855] 
2020-03-29 02:00:45:250 342 sec: 6989 operations; 21 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=210, Max=116095, Min=4488, Avg=47807.23, 90=85759, 99=93439, 99.9=116095, 99.99=116095] 
2020-03-29 02:00:55:250 352 sec: 7186 operations; 19.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=197, Max=108991, Min=4472, Avg=50675.91, 90=87487, 99=100031, 99.9=108991, 99.99=108991] 
2020-03-29 02:01:05:250 362 sec: 7378 operations; 19.2 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=192, Max=100159, Min=4308, Avg=52005.91, 90=91327, 99=95999, 99.9=100159, 99.99=100159] 
2020-03-29 02:01:15:250 372 sec: 7584 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=104639, Min=4560, Avg=48429.26, 90=84863, 99=99263, 99.9=104639, 99.99=104639] 
2020-03-29 02:01:25:250 382 sec: 7784 operations; 20 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=200, Max=104447, Min=4484, Avg=50069.44, 90=86591, 99=93375, 99.9=104447, 99.99=104447] 
2020-03-29 02:01:35:250 392 sec: 7987 operations; 20.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=203, Max=99391, Min=4312, Avg=49225.48, 90=82943, 99=92287, 99.9=99391, 99.99=99391] 
2020-03-29 02:01:45:250 402 sec: 8195 operations; 20.8 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=208, Max=104063, Min=4364, Avg=47955.15, 90=83711, 99=93951, 99.9=104063, 99.99=104063] 
2020-03-29 02:01:55:250 412 sec: 8385 operations; 19 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=190, Max=104383, Min=4588, Avg=52740.28, 90=89919, 99=100159, 99.9=104383, 99.99=104383] 
2020-03-29 02:02:05:250 422 sec: 8592 operations; 20.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=207, Max=99903, Min=4464, Avg=48413.86, 90=87295, 99=97087, 99.9=99903, 99.99=99903] 
2020-03-29 02:02:15:250 432 sec: 8786 operations; 19.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=194, Max=105023, Min=4412, Avg=51558.35, 90=86143, 99=100479, 99.9=105023, 99.99=105023] 
2020-03-29 02:02:25:250 442 sec: 9003 operations; 21.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=217, Max=95359, Min=4204, Avg=46006.64, 90=86527, 99=92671, 99.9=95359, 99.99=95359] 
2020-03-29 02:02:35:250 452 sec: 9216 operations; 21.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=213, Max=104063, Min=4532, Avg=46624.8, 90=83391, 99=99839, 99.9=104063, 99.99=104063] 
2020-03-29 02:02:45:250 462 sec: 9419 operations; 20.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=203, Max=105407, Min=4508, Avg=49404.78, 90=87167, 99=99647, 99.9=105407, 99.99=105407] 
2020-03-29 02:02:55:250 472 sec: 9618 operations; 19.9 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=199, Max=104191, Min=4528, Avg=50357.87, 90=88511, 99=95615, 99.9=104191, 99.99=104191] 
2020-03-29 02:03:05:250 482 sec: 9820 operations; 20.2 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=202, Max=105151, Min=4540, Avg=49556.9, 90=83967, 99=100031, 99.9=105151, 99.99=105151] 
2020-03-29 02:03:15:250 492 sec: 10023 operations; 20.3 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=203, Max=100095, Min=4300, Avg=49227.11, 90=87551, 99=93183, 99.9=100095, 99.99=100095] 
2020-03-29 02:03:25:250 502 sec: 10228 operations; 20.5 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=205, Max=103871, Min=4492, Avg=48721.34, 90=85119, 99=100095, 99.9=103871, 99.99=103871] 
2020-03-29 02:03:35:250 512 sec: 10445 operations; 21.7 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=217, Max=111743, Min=4196, Avg=46101.01, 90=83135, 99=94079, 99.9=111743, 99.99=111743] 
2020-03-29 02:03:45:250 522 sec: 10651 operations; 20.6 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=206, Max=104767, Min=4384, Avg=48448.28, 90=86911, 99=94463, 99.9=104767, 99.99=104767] 
2020-03-29 02:03:55:250 532 sec: 10855 operations; 20.4 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=204, Max=112447, Min=4488, Avg=49057.11, 90=87295, 99=99903, 99.9=112447, 99.99=112447] 
2020-03-29 02:04:05:250 542 sec: 11056 operations; 20.1 current ops/sec; est completion in 5 days 16 hours [SCAN: Count=201, Max=95679, Min=4548, Avg=49589.05, 90=83327, 99=92799, 99.9=95679, 99.99=95679] 
