/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 08:47:14:037 0 sec: 0 operations; est completion in 0 second 
2020-03-23 08:47:24:021 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 08:47:34:020 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 08:47:44:020 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 08:52:54:020 307 sec: 26223 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22735, Min=11240, Avg=11712.72, 90=11783, 99=13295, 99.9=22735, 99.99=22735] 
2020-03-23 08:53:04:020 317 sec: 27076 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22879, Min=11312, Avg=11704.34, 90=11799, 99=12311, 99.9=22879, 99.99=22879] 
2020-03-23 08:53:14:020 327 sec: 27930 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22799, Min=11168, Avg=11686.56, 90=11799, 99=12015, 99.9=22799, 99.99=22799] 
2020-03-23 08:53:24:020 337 sec: 28784 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22831, Min=11232, Avg=11703.71, 90=11799, 99=12071, 99.9=22831, 99.99=22831] 
2020-03-23 08:53:34:020 347 sec: 29636 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22815, Min=11248, Avg=11714.08, 90=11799, 99=12575, 99.9=22815, 99.99=22815] 
2020-03-23 08:53:44:020 357 sec: 30486 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22879, Min=11184, Avg=11742.93, 90=11799, 99=13359, 99.9=22879, 99.99=22879] 
2020-03-23 08:53:54:020 367 sec: 31338 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22831, Min=11160, Avg=11721.6, 90=11799, 99=12495, 99.9=22831, 99.99=22831] 
2020-03-23 08:54:04:020 377 sec: 32189 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22959, Min=11312, Avg=11728.72, 90=11791, 99=12871, 99.9=22959, 99.99=22959] 
2020-03-23 08:54:14:020 387 sec: 33045 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=22895, Min=11288, Avg=11667.14, 90=11783, 99=11951, 99.9=22895, 99.99=22895] 
2020-03-23 08:54:24:020 397 sec: 33902 operations; 85.7 current ops/sec; est completion in 1 day 8 hours [READ: Count=857, Max=22511, Min=11096, Avg=11653.74, 90=11791, 99=12167, 99.9=22511, 99.99=22511] 
2020-03-23 08:54:34:020 407 sec: 34755 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22783, Min=11264, Avg=11708.76, 90=11807, 99=12135, 99.9=22783, 99.99=22783] 
2020-03-23 08:54:44:020 417 sec: 35609 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22735, Min=11328, Avg=11684.91, 90=11791, 99=12135, 99.9=22735, 99.99=22735] 
2020-03-23 08:54:54:020 427 sec: 36463 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22799, Min=11320, Avg=11689.19, 90=11799, 99=12359, 99.9=22799, 99.99=22799] 
2020-03-23 08:55:04:020 437 sec: 37315 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22751, Min=11152, Avg=11728.15, 90=11847, 99=12383, 99.9=22751, 99.99=22751] 
2020-03-23 08:55:14:020 447 sec: 38171 operations; 85.6 current ops/sec; est completion in 1 day 8 hours [READ: Count=856, Max=12607, Min=11352, Avg=11664.73, 90=11799, 99=11943, 99.9=12607, 99.99=12607] 
2020-03-23 08:55:24:020 457 sec: 39025 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22815, Min=11096, Avg=11694.1, 90=11783, 99=12863, 99.9=22815, 99.99=22815] 
2020-03-23 08:55:34:020 467 sec: 39880 operations; 85.5 current ops/sec; est completion in 1 day 8 hours [READ: Count=855, Max=22751, Min=11328, Avg=11673.05, 90=11791, 99=12167, 99.9=22751, 99.99=22751] 
2020-03-23 08:55:44:020 477 sec: 40733 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=23887, Min=11264, Avg=11713.99, 90=11783, 99=11943, 99.9=23887, 99.99=23887] 
2020-03-23 08:55:54:020 487 sec: 41585 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22879, Min=11352, Avg=11710.61, 90=11799, 99=12631, 99.9=22879, 99.99=22879] 
2020-03-23 08:56:04:020 497 sec: 42438 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22575, Min=11328, Avg=11708.43, 90=11839, 99=12287, 99.9=22575, 99.99=22575] 
2020-03-23 08:56:14:020 507 sec: 43288 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=12535, Min=11360, Avg=11752.21, 90=11919, 99=12103, 99.9=12535, 99.99=12535] 
2020-03-23 08:56:24:020 517 sec: 44141 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22831, Min=11320, Avg=11709.41, 90=11807, 99=12655, 99.9=22831, 99.99=22831] 
2020-03-23 08:56:34:020 527 sec: 44995 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22815, Min=11248, Avg=11691, 90=11791, 99=11959, 99.9=22815, 99.99=22815] 
2020-03-23 08:56:44:020 537 sec: 45848 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22991, Min=11304, Avg=11698.22, 90=11799, 99=11927, 99.9=22991, 99.99=22991] 
2020-03-23 08:56:54:020 547 sec: 46700 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22911, Min=11288, Avg=11727.29, 90=11791, 99=13263, 99.9=22911, 99.99=22911] 
2020-03-23 08:57:04:020 557 sec: 47553 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22783, Min=11200, Avg=11698.19, 90=11815, 99=12095, 99.9=22783, 99.99=22783] 
2020-03-23 08:57:14:021 567 sec: 48405 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22847, Min=11216, Avg=11720.81, 90=11791, 99=13143, 99.9=22847, 99.99=22847] 
