/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-22 22:50:34:047 0 sec: 0 operations; est completion in 0 second 
2020-03-22 22:50:44:031 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-22 22:50:54:031 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-22 22:56:04:036 302 sec: 79959 operations; 263.2 current ops/sec; est completion in 10 hours 25 minutes [READ: Count=2631, Max=9599, Min=3316, Avg=3791.85, 90=3851, 99=6555, 99.9=9263, 99.99=9599] 
2020-03-22 22:56:14:031 312 sec: 82624 operations; 266.5 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2665, Max=9279, Min=3170, Avg=3741.15, 90=3837, 99=5511, 99.9=9207, 99.99=9279] 
2020-03-22 22:56:24:031 322 sec: 85258 operations; 263.4 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2634, Max=9447, Min=3230, Avg=3786.53, 90=3851, 99=6555, 99.9=9279, 99.99=9447] 
2020-03-22 22:56:34:031 332 sec: 87947 operations; 268.9 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2690, Max=9303, Min=3128, Avg=3709.72, 90=3833, 99=5431, 99.9=9239, 99.99=9303] 
2020-03-22 22:56:44:031 342 sec: 90587 operations; 264 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2639, Max=9303, Min=3186, Avg=3778.96, 90=3851, 99=5935, 99.9=9231, 99.99=9303] 
2020-03-22 22:56:54:031 352 sec: 93228 operations; 264.1 current ops/sec; est completion in 10 hours 24 minutes [READ: Count=2642, Max=11383, Min=3406, Avg=3775.83, 90=3859, 99=5471, 99.9=9271, 99.99=11383] 
2020-03-22 22:57:04:031 362 sec: 95877 operations; 264.9 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2648, Max=9311, Min=3260, Avg=3765.49, 90=3859, 99=5367, 99.9=9247, 99.99=9311] 
2020-03-22 22:57:14:031 372 sec: 98503 operations; 262.6 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2626, Max=9319, Min=3256, Avg=3798.54, 90=3851, 99=6551, 99.9=9279, 99.99=9319] 
2020-03-22 22:57:24:031 382 sec: 101137 operations; 263.4 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2634, Max=9319, Min=3432, Avg=3786.74, 90=3863, 99=5519, 99.9=9231, 99.99=9319] 
2020-03-22 22:57:34:031 392 sec: 103767 operations; 263 current ops/sec; est completion in 10 hours 23 minutes [READ: Count=2630, Max=9383, Min=3434, Avg=3793.26, 90=3859, 99=6515, 99.9=9303, 99.99=9383] 
