/usr/lib/jvm/java-8-oracle/bin/java -cp /home/gsd/pgs/ycsb/postgrenosql-binding/conf:/home/gsd/pgs/ycsb/conf:/home/gsd/pgs/ycsb/lib/postgresql-9.4.1212.jre7.jar:/home/gsd/pgs/ycsb/lib/json-simple-1.1.1.jar:/home/gsd/pgs/ycsb/lib/postgrenosql-binding-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/HdrHistogram-2.1.11.jar:/home/gsd/pgs/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/home/gsd/pgs/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/slf4j-simple-1.7.13.jar:/home/gsd/pgs/ycsb/lib/jackson-core-asl-1.9.4.jar:/home/gsd/pgs/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/home/gsd/pgs/ycsb/lib/slf4j-api-1.7.13.jar site.ycsb.Client -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
Command line: -db site.ycsb.postgrenosql.PostgreNoSQLDBClient -s -P workloads/workloada -P postgrenosql.properties -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 2100 secs
2020-03-23 09:22:19:896 0 sec: 0 operations; est completion in 0 second 
2020-03-23 09:22:29:881 10 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2020-03-23 09:22:39:882 20 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Init soe select init_soe(0, CAST( get_ftw_oid() as INTEGER), 1, CAST (get_original_index_oid() as INTEGER))
Loading oblivious tables.
2020-03-23 09:22:49:881 30 sec: 0 operations; est completion in 106751991167300 days 15 hours 
Load complete
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2020-03-23 09:27:59:882 307 sec: 26187 operations; 85.06 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22863, Min=11192, Avg=11738.6, 90=11823, 99=11959, 99.9=22863, 99.99=22863] 
2020-03-23 09:28:09:881 317 sec: 27038 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22719, Min=11304, Avg=11730.85, 90=11831, 99=12143, 99.9=22719, 99.99=22719] 
2020-03-23 09:28:19:881 327 sec: 27889 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22719, Min=11280, Avg=11726.58, 90=11831, 99=12063, 99.9=22719, 99.99=22719] 
2020-03-23 09:28:29:881 337 sec: 28739 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=22879, Min=11336, Avg=11742.67, 90=11815, 99=12175, 99.9=22879, 99.99=22879] 
2020-03-23 09:28:39:881 347 sec: 29593 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=22767, Min=11160, Avg=11690.27, 90=11815, 99=11919, 99.9=22767, 99.99=22767] 
2020-03-23 09:28:49:881 357 sec: 30447 operations; 85.4 current ops/sec; est completion in 1 day 8 hours [READ: Count=854, Max=13007, Min=11280, Avg=11695.42, 90=11823, 99=11967, 99.9=13007, 99.99=13007] 
2020-03-23 09:28:59:881 367 sec: 31299 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22863, Min=11304, Avg=11724.8, 90=11807, 99=12071, 99.9=22863, 99.99=22863] 
2020-03-23 09:29:09:881 377 sec: 32152 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22719, Min=11296, Avg=11694.68, 90=11815, 99=11951, 99.9=22719, 99.99=22719] 
2020-03-23 09:29:19:881 387 sec: 33004 operations; 85.2 current ops/sec; est completion in 1 day 8 hours [READ: Count=852, Max=22783, Min=11368, Avg=11721.47, 90=11807, 99=12559, 99.9=22783, 99.99=22783] 
2020-03-23 09:29:29:881 397 sec: 33855 operations; 85.1 current ops/sec; est completion in 1 day 8 hours [READ: Count=851, Max=22831, Min=11256, Avg=11729.56, 90=11815, 99=12207, 99.9=22831, 99.99=22831] 
2020-03-23 09:29:39:881 407 sec: 34708 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22879, Min=11312, Avg=11704.43, 90=11807, 99=12055, 99.9=22879, 99.99=22879] 
2020-03-23 09:29:49:881 417 sec: 35558 operations; 85 current ops/sec; est completion in 1 day 8 hours [READ: Count=850, Max=23007, Min=11136, Avg=11748.14, 90=11823, 99=13343, 99.9=23007, 99.99=23007] 
2020-03-23 09:29:59:881 427 sec: 36411 operations; 85.3 current ops/sec; est completion in 1 day 8 hours [READ: Count=853, Max=22831, Min=11312, Avg=11715.19, 90=11807, 99=11999, 99.9=22831, 99.99=22831] 
