2020-03-24 13:04:44:724 510 sec: 20464 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34815, Min=24256, Avg=24800.79, 90=25007, 99=25167, 99.9=34815, 99.99=34815] 
2020-03-24 13:04:54:724 520 sec: 20866 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35071, Min=24272, Avg=24819.36, 90=24991, 99=25951, 99.9=35071, 99.99=35071] 
2020-03-24 13:05:04:724 530 sec: 21269 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=28047, Min=24192, Avg=24807.17, 90=25039, 99=26447, 99.9=28047, 99.99=28047] 
2020-03-24 13:05:14:724 540 sec: 21672 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35359, Min=24224, Avg=24786.82, 90=25007, 99=25455, 99.9=35359, 99.99=35359] 
2020-03-24 13:05:24:724 550 sec: 22076 operations; 40.4 current ops/sec; est completion in 2 days 21 hours [READ: Count=404, Max=26559, Min=24192, Avg=24789.07, 90=25023, 99=25663, 99.9=26559, 99.99=26559] 
2020-03-24 13:05:34:724 560 sec: 22478 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35199, Min=24192, Avg=24826.67, 90=24991, 99=25631, 99.9=35199, 99.99=35199] 
2020-03-24 13:05:44:724 570 sec: 22881 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35231, Min=24272, Avg=24825.15, 90=25023, 99=25695, 99.9=35231, 99.99=35231] 
2020-03-24 13:05:54:724 580 sec: 23283 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35039, Min=24128, Avg=24827.88, 90=25039, 99=25871, 99.9=35039, 99.99=35039] 
2020-03-24 13:06:04:724 590 sec: 23686 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26559, Min=24304, Avg=24795.06, 90=25039, 99=25663, 99.9=26559, 99.99=26559] 
2020-03-24 13:06:14:724 600 sec: 24089 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25855, Min=24208, Avg=24783.38, 90=25023, 99=25551, 99.9=25855, 99.99=25855] 
2020-03-24 13:06:24:724 610 sec: 24492 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=404, Max=27055, Min=24256, Avg=24778.42, 90=25071, 99=25711, 99.9=27055, 99.99=27055] 
2020-03-24 13:06:34:724 620 sec: 24895 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=25615, Min=24256, Avg=24801.95, 90=25055, 99=25423, 99.9=25615, 99.99=25615] 
2020-03-24 13:06:44:724 630 sec: 25298 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35871, Min=24096, Avg=24842.86, 90=25023, 99=25727, 99.9=35871, 99.99=35871] 
2020-03-24 13:06:54:724 640 sec: 25699 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=34975, Min=24144, Avg=24877.89, 90=25039, 99=26047, 99.9=34975, 99.99=34975] 
2020-03-24 13:07:04:724 650 sec: 26102 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35327, Min=24112, Avg=24843.28, 90=25039, 99=26287, 99.9=35327, 99.99=35327] 
2020-03-24 13:07:14:724 660 sec: 26505 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35231, Min=24192, Avg=24794.88, 90=25007, 99=25615, 99.9=35231, 99.99=35231] 
2020-03-24 13:07:24:724 670 sec: 26907 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35071, Min=24112, Avg=24830.33, 90=25023, 99=26495, 99.9=35071, 99.99=35071] 
2020-03-24 13:07:34:724 680 sec: 27310 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=27167, Min=24192, Avg=24786.84, 90=25055, 99=25359, 99.9=27167, 99.99=27167] 
2020-03-24 13:07:44:724 690 sec: 27714 operations; 40.4 current ops/sec; est completion in 2 days 21 hours [READ: Count=404, Max=25407, Min=24240, Avg=24773.23, 90=24991, 99=25231, 99.9=25407, 99.99=25407] 
2020-03-24 13:07:54:724 700 sec: 28115 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35263, Min=24272, Avg=24865.02, 90=25039, 99=26255, 99.9=35263, 99.99=35263] 
2020-03-24 13:08:04:724 710 sec: 28518 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35039, Min=24224, Avg=24836.92, 90=25055, 99=25455, 99.9=35039, 99.99=35039] 
2020-03-24 13:08:14:724 720 sec: 28921 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25503, Min=24160, Avg=24789.78, 90=25039, 99=25263, 99.9=25503, 99.99=25503] 
2020-03-24 13:08:24:724 730 sec: 29323 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24096, Avg=24816.86, 90=25007, 99=25919, 99.9=35167, 99.99=35167] 
2020-03-24 13:08:34:724 740 sec: 29726 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=35167, Min=24128, Avg=24802.34, 90=25007, 99=25167, 99.9=35167, 99.99=35167] 
2020-03-24 13:08:44:724 750 sec: 30129 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=34975, Min=24144, Avg=24826.66, 90=25023, 99=25599, 99.9=34975, 99.99=34975] 
2020-03-24 13:08:54:724 760 sec: 30532 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=26975, Min=24112, Avg=24758.41, 90=25007, 99=25599, 99.9=26975, 99.99=26975] 
2020-03-24 13:09:04:724 770 sec: 30934 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35199, Min=24208, Avg=24869.65, 90=25087, 99=26335, 99.9=35199, 99.99=35199] 
2020-03-24 13:09:14:724 780 sec: 31336 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35231, Min=24368, Avg=24867.74, 90=25039, 99=25407, 99.9=35231, 99.99=35231] 
2020-03-24 13:09:24:724 790 sec: 31738 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35167, Min=24176, Avg=24872.46, 90=25087, 99=25855, 99.9=35167, 99.99=35167] 
2020-03-24 13:09:34:724 800 sec: 32140 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=25279, Min=24192, Avg=24816.44, 90=25071, 99=25247, 99.9=25279, 99.99=25279] 
2020-03-24 13:09:44:724 810 sec: 32543 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=34911, Min=24224, Avg=24848.99, 90=25055, 99=25727, 99.9=34911, 99.99=34911] 
2020-03-24 13:09:54:724 820 sec: 32944 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35071, Min=24240, Avg=24909.77, 90=25071, 99=26703, 99.9=35071, 99.99=35071] 
2020-03-24 13:10:04:724 830 sec: 33346 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=26463, Min=24256, Avg=24849.71, 90=25103, 99=25263, 99.9=26463, 99.99=26463] 
2020-03-24 13:10:14:724 840 sec: 33747 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35103, Min=24304, Avg=24900.13, 90=25087, 99=25311, 99.9=35103, 99.99=35103] 
2020-03-24 13:10:24:724 850 sec: 34149 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=26287, Min=24288, Avg=24847.88, 90=25087, 99=25359, 99.9=26287, 99.99=26287] 
2020-03-24 13:10:34:724 860 sec: 34552 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=25887, Min=24096, Avg=24841.55, 90=25071, 99=25279, 99.9=25887, 99.99=25887] 
2020-03-24 13:10:44:724 870 sec: 34954 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=27599, Min=24272, Avg=24854.53, 90=25087, 99=25311, 99.9=27599, 99.99=27599] 
