2020-03-24 13:40:28:150 539 sec: 21612 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26975, Min=24272, Avg=24859.18, 90=25087, 99=25711, 99.9=26975, 99.99=26975] 
2020-03-24 13:40:38:150 549 sec: 22015 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35583, Min=24144, Avg=24827.83, 90=25039, 99=25359, 99.9=35583, 99.99=35583] 
2020-03-24 13:40:48:149 559 sec: 22416 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24112, Avg=24898.97, 90=25087, 99=25679, 99.9=35167, 99.99=35167] 
2020-03-24 13:40:58:150 569 sec: 22818 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35071, Min=24128, Avg=24876.12, 90=25071, 99=25839, 99.9=35071, 99.99=35071] 
2020-03-24 13:41:08:150 579 sec: 23219 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=28223, Min=24336, Avg=24881.74, 90=25103, 99=26671, 99.9=28223, 99.99=28223] 
2020-03-24 13:41:18:150 589 sec: 23620 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24224, Avg=24904.08, 90=25087, 99=25247, 99.9=35167, 99.99=35167] 
2020-03-24 13:41:28:150 599 sec: 24022 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26863, Min=24240, Avg=24876.42, 90=25087, 99=25535, 99.9=26863, 99.99=26863] 
2020-03-24 13:41:38:150 609 sec: 24424 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26463, Min=24192, Avg=24831.6, 90=25071, 99=25215, 99.9=26463, 99.99=26463] 
2020-03-24 13:41:48:150 619 sec: 24826 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35199, Min=24192, Avg=24910.43, 90=25087, 99=25263, 99.9=35199, 99.99=35199] 
2020-03-24 13:41:58:150 629 sec: 25228 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24208, Avg=24861.39, 90=25071, 99=25279, 99.9=35167, 99.99=35167] 
2020-03-24 13:42:08:150 639 sec: 25630 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=28383, Min=24176, Avg=24832.88, 90=25087, 99=25599, 99.9=28383, 99.99=28383] 
2020-03-24 13:42:18:150 649 sec: 26032 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=34943, Min=24208, Avg=24867.84, 90=25103, 99=25279, 99.9=34943, 99.99=34943] 
2020-03-24 13:42:28:150 659 sec: 26434 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35103, Min=24144, Avg=24869.11, 90=25087, 99=25631, 99.9=35103, 99.99=35103] 
2020-03-24 13:42:38:150 669 sec: 26836 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26367, Min=24272, Avg=24859.18, 90=25103, 99=25567, 99.9=26367, 99.99=26367] 
2020-03-24 13:42:48:150 679 sec: 27237 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35199, Min=24352, Avg=24883.99, 90=25087, 99=25615, 99.9=35199, 99.99=35199] 
2020-03-24 13:42:58:150 689 sec: 27638 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24320, Avg=24909.03, 90=25103, 99=25279, 99.9=35167, 99.99=35167] 
2020-03-24 13:43:08:150 699 sec: 28040 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=28975, Min=24256, Avg=24874.67, 90=25103, 99=26175, 99.9=28975, 99.99=28975] 
2020-03-24 13:43:18:150 709 sec: 28443 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25791, Min=24192, Avg=24826.34, 90=25039, 99=25199, 99.9=25791, 99.99=25791] 
2020-03-24 13:43:28:150 719 sec: 28845 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26911, Min=24112, Avg=24842.63, 90=25087, 99=25407, 99.9=26911, 99.99=26911] 
2020-03-24 13:43:38:150 729 sec: 29247 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=27103, Min=24336, Avg=24861.17, 90=25087, 99=25359, 99.9=27103, 99.99=27103] 
2020-03-24 13:43:48:150 739 sec: 29649 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=25823, Min=24304, Avg=24836.14, 90=25055, 99=25295, 99.9=25823, 99.99=25823] 
2020-03-24 13:43:58:150 749 sec: 30051 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26463, Min=24048, Avg=24857.67, 90=25087, 99=25903, 99.9=26463, 99.99=26463] 
2020-03-24 13:44:08:150 759 sec: 30453 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26095, Min=24320, Avg=24843.3, 90=25087, 99=25791, 99.9=26095, 99.99=26095] 
2020-03-24 13:44:18:150 769 sec: 30855 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35007, Min=24240, Avg=24848.42, 90=25055, 99=25247, 99.9=35007, 99.99=35007] 
2020-03-24 13:44:28:150 779 sec: 31257 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35199, Min=24096, Avg=24860.44, 90=25071, 99=26399, 99.9=35199, 99.99=35199] 
2020-03-24 13:44:38:150 789 sec: 31660 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25919, Min=24320, Avg=24817.37, 90=25055, 99=25167, 99.9=25919, 99.99=25919] 
2020-03-24 13:44:48:150 799 sec: 32060 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35455, Min=24128, Avg=24957.92, 90=25071, 99=34975, 99.9=35455, 99.99=35455] 
2020-03-24 13:44:58:150 809 sec: 32463 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34751, Min=24208, Avg=24838.19, 90=25055, 99=26191, 99.9=34751, 99.99=34751] 
2020-03-24 13:45:08:150 819 sec: 32864 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=34943, Min=24224, Avg=24869.47, 90=25071, 99=26159, 99.9=34943, 99.99=34943] 
2020-03-24 13:45:18:150 829 sec: 33267 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25343, Min=24288, Avg=24824.28, 90=25039, 99=25199, 99.9=25343, 99.99=25343] 
