2020-03-23 13:01:07:096 356 sec: 22607 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=17375, Min=15208, Avg=15686.89, 90=15847, 99=16247, 99.9=17375, 99.99=17375] 
2020-03-23 13:01:17:096 366 sec: 23244 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=16479, Min=15256, Avg=15681.14, 90=15839, 99=16207, 99.9=16479, 99.99=16479] 
2020-03-23 13:01:27:096 376 sec: 23880 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=18127, Min=15288, Avg=15706.53, 90=15847, 99=16575, 99.9=18127, 99.99=18127] 
2020-03-23 13:01:37:096 386 sec: 24516 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=16623, Min=15216, Avg=15687.72, 90=15847, 99=16095, 99.9=16623, 99.99=16623] 
2020-03-23 13:01:47:096 396 sec: 25152 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27855, Min=15160, Avg=15711.5, 90=15855, 99=16543, 99.9=27855, 99.99=27855] 
2020-03-23 13:01:57:096 406 sec: 25789 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=17679, Min=15088, Avg=15681.76, 90=15847, 99=16143, 99.9=17679, 99.99=17679] 
2020-03-23 13:02:07:096 416 sec: 26426 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=16815, Min=15168, Avg=15688.99, 90=15847, 99=15935, 99.9=16815, 99.99=16815] 
2020-03-23 13:02:17:096 426 sec: 27061 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28095, Min=14976, Avg=15722.7, 90=15847, 99=16047, 99.9=28095, 99.99=28095] 
2020-03-23 13:02:27:096 436 sec: 27697 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27775, Min=15200, Avg=15709.36, 90=15847, 99=16447, 99.9=27775, 99.99=27775] 
2020-03-23 13:02:37:096 446 sec: 28333 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27839, Min=15056, Avg=15695.47, 90=15815, 99=15999, 99.9=27839, 99.99=27839] 
2020-03-23 13:02:47:096 456 sec: 28971 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=27839, Min=15048, Avg=15669.63, 90=15815, 99=15991, 99.9=27839, 99.99=27839] 
2020-03-23 13:02:57:096 466 sec: 29607 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=17711, Min=15024, Avg=15704.65, 90=15839, 99=16191, 99.9=17711, 99.99=17711] 
2020-03-23 13:03:07:096 476 sec: 30243 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=17151, Min=15176, Avg=15687.99, 90=15847, 99=16119, 99.9=17151, 99.99=17151] 
2020-03-23 13:03:17:096 486 sec: 30878 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28127, Min=15256, Avg=15726.28, 90=15847, 99=15983, 99.9=28127, 99.99=28127] 
2020-03-23 13:03:27:096 496 sec: 31513 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27903, Min=15184, Avg=15738.1, 90=15839, 99=16479, 99.9=27903, 99.99=27903] 
2020-03-23 13:03:37:096 506 sec: 32146 operations; 63.3 current ops/sec; est completion in 1 day 19 hours [READ: Count=633, Max=27951, Min=15320, Avg=15791.19, 90=15855, 99=16399, 99.9=27951, 99.99=27951] 
2020-03-23 13:03:47:096 516 sec: 32781 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28047, Min=15256, Avg=15714.87, 90=15831, 99=16311, 99.9=28047, 99.99=28047] 
2020-03-23 13:03:57:096 526 sec: 33417 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=17519, Min=15248, Avg=15697.4, 90=15855, 99=16047, 99.9=17519, 99.99=17519] 
2020-03-23 13:04:07:096 536 sec: 34053 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27903, Min=15280, Avg=15726.85, 90=15847, 99=16183, 99.9=27903, 99.99=27903] 
2020-03-23 13:04:17:096 546 sec: 34689 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=28015, Min=15320, Avg=15704.41, 90=15831, 99=15999, 99.9=28015, 99.99=28015] 
2020-03-23 13:04:27:096 556 sec: 35322 operations; 63.3 current ops/sec; est completion in 1 day 19 hours [READ: Count=633, Max=27903, Min=15248, Avg=15756.63, 90=15855, 99=16847, 99.9=27903, 99.99=27903] 
2020-03-23 13:04:37:096 566 sec: 35957 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28047, Min=15360, Avg=15738.59, 90=15855, 99=15991, 99.9=28047, 99.99=28047] 
2020-03-23 13:04:47:096 576 sec: 36595 operations; 63.8 current ops/sec; est completion in 1 day 19 hours [READ: Count=638, Max=16023, Min=15184, Avg=15667.96, 90=15831, 99=15967, 99.9=16023, 99.99=16023] 
2020-03-23 13:04:57:096 586 sec: 37230 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28015, Min=15144, Avg=15720.12, 90=15839, 99=16415, 99.9=28015, 99.99=28015] 
2020-03-23 13:05:07:096 596 sec: 37867 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=17055, Min=15320, Avg=15684.46, 90=15847, 99=16063, 99.9=17055, 99.99=17055] 
2020-03-23 13:05:17:096 606 sec: 38504 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=18303, Min=15184, Avg=15676.28, 90=15847, 99=15959, 99.9=18303, 99.99=18303] 
2020-03-23 13:05:27:096 616 sec: 39139 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27967, Min=15304, Avg=15719.61, 90=15847, 99=16295, 99.9=27967, 99.99=27967] 
2020-03-23 13:05:37:096 626 sec: 39774 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=634, Max=28047, Min=15288, Avg=15735.32, 90=15823, 99=16055, 99.9=28047, 99.99=28047] 
2020-03-23 13:05:47:096 636 sec: 40409 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28159, Min=15320, Avg=15745.81, 90=15847, 99=16375, 99.9=28159, 99.99=28159] 
2020-03-23 13:05:57:096 646 sec: 41044 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27855, Min=15264, Avg=15713.18, 90=15839, 99=16799, 99.9=27855, 99.99=27855] 
2020-03-23 13:06:07:096 656 sec: 41680 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27695, Min=15264, Avg=15712.38, 90=15839, 99=16703, 99.9=27695, 99.99=27695] 
2020-03-23 13:06:17:096 666 sec: 42316 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=636, Max=27599, Min=15184, Avg=15709.68, 90=15847, 99=15967, 99.9=27599, 99.99=27599] 
2020-03-23 13:06:27:096 676 sec: 42953 operations; 63.7 current ops/sec; est completion in 1 day 19 hours [READ: Count=637, Max=27743, Min=15080, Avg=15675.98, 90=15831, 99=16063, 99.9=27743, 99.99=27743] 
2020-03-23 13:06:37:096 686 sec: 43588 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28111, Min=15216, Avg=15725.91, 90=15831, 99=15999, 99.9=28111, 99.99=28111] 
2020-03-23 13:06:47:096 696 sec: 44223 operations; 63.5 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27935, Min=15264, Avg=15744.75, 90=15847, 99=16335, 99.9=27935, 99.99=27935] 
2020-03-23 13:06:57:096 706 sec: 44857 operations; 63.4 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=28031, Min=15312, Avg=15731.4, 90=15839, 99=16959, 99.9=28031, 99.99=28031] 
2020-03-23 13:07:07:096 716 sec: 45493 operations; 63.6 current ops/sec; est completion in 1 day 19 hours [READ: Count=635, Max=27743, Min=15352, Avg=15719.79, 90=15863, 99=16231, 99.9=27743, 99.99=27743] 
