2020-03-24 14:13:31:209 411 sec: 16504 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26831, Min=23936, Avg=24818.64, 90=25071, 99=25567, 99.9=26831, 99.99=26831] 
2020-03-24 14:13:41:210 421 sec: 16906 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35359, Min=24240, Avg=24847.58, 90=25071, 99=25471, 99.9=35359, 99.99=35359] 
2020-03-24 14:13:51:210 431 sec: 17308 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=34783, Min=24240, Avg=24850.17, 90=25071, 99=25263, 99.9=34783, 99.99=34783] 
2020-03-24 14:14:01:210 441 sec: 17710 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26799, Min=24256, Avg=24822.25, 90=25055, 99=25439, 99.9=26799, 99.99=26799] 
2020-03-24 14:14:11:210 451 sec: 18113 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26335, Min=24192, Avg=24804.55, 90=25071, 99=25471, 99.9=26335, 99.99=26335] 
2020-03-24 14:14:21:210 461 sec: 18516 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25919, Min=24144, Avg=24808.48, 90=25039, 99=25199, 99.9=25919, 99.99=25919] 
2020-03-24 14:14:31:210 471 sec: 18919 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=27359, Min=24192, Avg=24820.23, 90=25039, 99=25423, 99.9=27359, 99.99=27359] 
2020-03-24 14:14:41:210 481 sec: 19320 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35231, Min=24384, Avg=24869.69, 90=25039, 99=25631, 99.9=35231, 99.99=35231] 
2020-03-24 14:14:51:210 491 sec: 19721 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=53439, Min=24224, Avg=24925.72, 90=25071, 99=25791, 99.9=53439, 99.99=53439] 
2020-03-24 14:15:01:210 501 sec: 20124 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=27167, Min=24272, Avg=24815.19, 90=25055, 99=25679, 99.9=27167, 99.99=27167] 
2020-03-24 14:15:11:210 511 sec: 20526 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35007, Min=24160, Avg=24874.29, 90=25071, 99=26191, 99.9=35007, 99.99=35007] 
2020-03-24 14:15:21:210 521 sec: 20927 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35103, Min=24240, Avg=24881.28, 90=25039, 99=25311, 99.9=35103, 99.99=35103] 
2020-03-24 14:15:31:210 531 sec: 21329 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35135, Min=24176, Avg=24873.47, 90=25055, 99=26815, 99.9=35135, 99.99=35135] 
2020-03-24 14:15:41:210 541 sec: 21732 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25279, Min=24160, Avg=24791.56, 90=25023, 99=25199, 99.9=25279, 99.99=25279] 
2020-03-24 14:15:51:210 551 sec: 22133 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35199, Min=24224, Avg=24906.49, 90=25071, 99=25823, 99.9=35199, 99.99=35199] 
2020-03-24 14:16:01:210 561 sec: 22536 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=26879, Min=24224, Avg=24804.27, 90=25023, 99=25903, 99.9=26879, 99.99=26879] 
2020-03-24 14:16:11:210 571 sec: 22938 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24208, Avg=24860.28, 90=25087, 99=26095, 99.9=35167, 99.99=35167] 
2020-03-24 14:16:21:210 581 sec: 23340 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35551, Min=24336, Avg=24850.09, 90=25055, 99=25615, 99.9=35551, 99.99=35551] 
2020-03-24 14:16:31:210 591 sec: 23743 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=34879, Min=24256, Avg=24841.93, 90=25055, 99=25615, 99.9=34879, 99.99=34879] 
2020-03-24 14:16:41:210 601 sec: 24145 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35231, Min=24208, Avg=24830.59, 90=25039, 99=25263, 99.9=35231, 99.99=35231] 
2020-03-24 14:16:51:210 611 sec: 24547 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=34879, Min=24272, Avg=24838.63, 90=25055, 99=25279, 99.9=34879, 99.99=34879] 
2020-03-24 14:17:01:210 621 sec: 24950 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=27087, Min=24208, Avg=24838.37, 90=25087, 99=26143, 99.9=27087, 99.99=27087] 
2020-03-24 14:17:11:210 631 sec: 25352 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35039, Min=24288, Avg=24847.22, 90=25055, 99=26063, 99.9=35039, 99.99=35039] 
2020-03-24 14:17:21:210 641 sec: 25754 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35167, Min=24272, Avg=24858.49, 90=25087, 99=25487, 99.9=35167, 99.99=35167] 
2020-03-24 14:17:31:210 651 sec: 26155 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35423, Min=24176, Avg=24922.97, 90=25039, 99=28911, 99.9=35423, 99.99=35423] 
2020-03-24 14:17:41:210 661 sec: 26556 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35263, Min=24272, Avg=24908.97, 90=25103, 99=25599, 99.9=35263, 99.99=35263] 
2020-03-24 14:17:51:210 671 sec: 26957 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35167, Min=24272, Avg=24883.05, 90=25087, 99=25631, 99.9=35167, 99.99=35167] 
2020-03-24 14:18:01:210 681 sec: 27359 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35135, Min=24272, Avg=24868.68, 90=25103, 99=25791, 99.9=35135, 99.99=35135] 
2020-03-24 14:18:11:210 691 sec: 27761 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=26927, Min=24320, Avg=24845.41, 90=25087, 99=25695, 99.9=26927, 99.99=26927] 
2020-03-24 14:18:21:210 701 sec: 28164 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=25295, Min=24352, Avg=24824.28, 90=25071, 99=25231, 99.9=25295, 99.99=25295] 
2020-03-24 14:18:31:210 711 sec: 28566 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=34943, Min=24208, Avg=24826.17, 90=25055, 99=25359, 99.9=34943, 99.99=34943] 
2020-03-24 14:18:41:210 721 sec: 28969 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35231, Min=24112, Avg=24828.23, 90=25039, 99=25183, 99.9=35231, 99.99=35231] 
2020-03-24 14:18:51:210 731 sec: 29372 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35263, Min=23968, Avg=24779.75, 90=25039, 99=25295, 99.9=35263, 99.99=35263] 
2020-03-24 14:19:01:210 741 sec: 29775 operations; 40.3 current ops/sec; est completion in 2 days 21 hours [READ: Count=403, Max=35103, Min=24080, Avg=24809.55, 90=25039, 99=25375, 99.9=35103, 99.99=35103] 
2020-03-24 14:19:11:210 751 sec: 30176 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=36159, Min=24144, Avg=24895.78, 90=25087, 99=26095, 99.9=36159, 99.99=36159] 
2020-03-24 14:19:21:210 761 sec: 30579 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=35039, Min=24112, Avg=24795.71, 90=25039, 99=25279, 99.9=35039, 99.99=35039] 
2020-03-24 14:19:31:210 771 sec: 30982 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=35167, Min=24224, Avg=24847.33, 90=25055, 99=25519, 99.9=35167, 99.99=35167] 
2020-03-24 14:19:41:210 781 sec: 31384 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=25631, Min=24240, Avg=24838.61, 90=25119, 99=25343, 99.9=25631, 99.99=25631] 
2020-03-24 14:19:51:210 791 sec: 31786 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35103, Min=24144, Avg=24864.28, 90=25055, 99=25791, 99.9=35103, 99.99=35103] 
2020-03-24 14:20:01:210 801 sec: 32188 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=27231, Min=24224, Avg=24823.48, 90=25055, 99=25919, 99.9=27231, 99.99=27231] 
2020-03-24 14:20:11:210 811 sec: 32590 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35071, Min=24240, Avg=24867.24, 90=25071, 99=25919, 99.9=35071, 99.99=35071] 
2020-03-24 14:20:21:210 821 sec: 32993 operations; 40.3 current ops/sec; est completion in 2 days 20 hours [READ: Count=403, Max=35103, Min=24288, Avg=24831.84, 90=25039, 99=25215, 99.9=35103, 99.99=35103] 
2020-03-24 14:20:31:210 831 sec: 33394 operations; 40.1 current ops/sec; est completion in 2 days 20 hours [READ: Count=401, Max=35519, Min=24176, Avg=24909.81, 90=25071, 99=26719, 99.9=35519, 99.99=35519] 
2020-03-24 14:20:41:210 841 sec: 33796 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35231, Min=24272, Avg=24833.61, 90=25023, 99=25199, 99.9=35231, 99.99=35231] 
2020-03-24 14:20:51:210 851 sec: 34198 operations; 40.2 current ops/sec; est completion in 2 days 20 hours [READ: Count=402, Max=35231, Min=24256, Avg=24876.08, 90=25039, 99=25423, 99.9=35231, 99.99=35231] 
