2020-04-06 13:16:26:396 618 sec: 24670 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25327, Min=24416, Avg=24933.09, 90=25151, 99=25295, 99.9=25327, 99.99=25327] 
2020-04-06 13:16:36:396 628 sec: 25070 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35103, Min=24368, Avg=24974.02, 90=25183, 99=25407, 99.9=35103, 99.99=35103] 
2020-04-06 13:16:46:396 638 sec: 25469 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35295, Min=24112, Avg=25026.95, 90=25199, 99=27183, 99.9=35295, 99.99=35295] 
2020-04-06 13:16:56:396 648 sec: 25869 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35263, Min=24544, Avg=25012.2, 90=25199, 99=25471, 99.9=35263, 99.99=35263] 
2020-04-06 13:17:06:396 658 sec: 26269 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35295, Min=24256, Avg=24983.36, 90=25183, 99=25423, 99.9=35295, 99.99=35295] 
2020-04-06 13:17:16:396 668 sec: 26668 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35295, Min=24336, Avg=25039.82, 90=25247, 99=26447, 99.9=35295, 99.99=35295] 
2020-04-06 13:17:26:396 678 sec: 27068 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35487, Min=24384, Avg=24961.38, 90=25167, 99=25359, 99.9=35487, 99.99=35487] 
2020-04-06 13:17:36:396 688 sec: 27469 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26703, Min=24384, Avg=24952.16, 90=25167, 99=25343, 99.9=26703, 99.99=26703] 
2020-04-06 13:17:46:396 698 sec: 27868 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=27199, Min=24352, Avg=25000.6, 90=25231, 99=26047, 99.9=27199, 99.99=27199] 
2020-04-06 13:17:56:396 708 sec: 28268 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35487, Min=24192, Avg=25006.92, 90=25167, 99=26079, 99.9=35487, 99.99=35487] 
2020-04-06 13:18:06:396 718 sec: 28668 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35071, Min=24256, Avg=24982.7, 90=25199, 99=25807, 99.9=35071, 99.99=35071] 
2020-04-06 13:18:16:400 728 sec: 29068 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27551, Min=24448, Avg=25006, 90=25231, 99=26511, 99.9=27551, 99.99=27551] 
2020-04-06 13:18:26:396 738 sec: 29468 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35679, Min=24480, Avg=24981.86, 90=25183, 99=25775, 99.9=35679, 99.99=35679] 
2020-04-06 13:18:36:396 748 sec: 29868 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=34911, Min=24448, Avg=24975.58, 90=25199, 99=25679, 99.9=34911, 99.99=34911] 
2020-04-06 13:18:46:397 758 sec: 30268 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=26415, Min=24304, Avg=24968.36, 90=25231, 99=25807, 99.9=26415, 99.99=26415] 
2020-04-06 13:18:56:396 768 sec: 30668 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=25967, Min=24416, Avg=24963.92, 90=25199, 99=25583, 99.9=25967, 99.99=25967] 
2020-04-06 13:19:06:396 778 sec: 31068 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=34463, Min=24464, Avg=24976.14, 90=25183, 99=25887, 99.9=34463, 99.99=34463] 
2020-04-06 13:19:16:396 788 sec: 31467 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=27407, Min=24464, Avg=25071.86, 90=25311, 99=26815, 99.9=27407, 99.99=27407] 
2020-04-06 13:19:26:396 798 sec: 31867 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35039, Min=24432, Avg=24952.22, 90=25151, 99=25455, 99.9=35039, 99.99=35039] 
2020-04-06 13:19:36:396 808 sec: 32268 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25391, Min=24272, Avg=24940.07, 90=25167, 99=25359, 99.9=25391, 99.99=25391] 
2020-04-06 13:19:46:396 818 sec: 32668 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35455, Min=24416, Avg=25017.86, 90=25231, 99=26735, 99.9=35455, 99.99=35455] 
2020-04-06 13:19:56:396 828 sec: 33067 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35391, Min=24208, Avg=25026.37, 90=25199, 99=26831, 99.9=35391, 99.99=35391] 
2020-04-06 13:20:06:396 838 sec: 33468 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25743, Min=24352, Avg=24923.27, 90=25167, 99=25343, 99.9=25743, 99.99=25743] 
2020-04-06 13:20:16:396 848 sec: 33867 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35423, Min=24320, Avg=25008.1, 90=25183, 99=26591, 99.9=35423, 99.99=35423] 
2020-04-06 13:20:26:396 858 sec: 34268 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=29711, Min=24416, Avg=24939.67, 90=25167, 99=25423, 99.9=29711, 99.99=29711] 
2020-04-06 13:20:36:396 868 sec: 34669 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=26847, Min=24448, Avg=24931.33, 90=25151, 99=25359, 99.9=26847, 99.99=26847] 
2020-04-06 13:20:46:396 878 sec: 35069 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27039, Min=24336, Avg=24970.2, 90=25199, 99=25407, 99.9=27039, 99.99=27039] 
2020-04-06 13:20:56:396 888 sec: 35469 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35039, Min=24384, Avg=24966.14, 90=25183, 99=25407, 99.9=35039, 99.99=35039] 
2020-04-06 13:21:06:396 898 sec: 35868 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35295, Min=24480, Avg=25056.52, 90=25215, 99=25503, 99.9=35295, 99.99=35295] 
2020-04-06 13:21:16:396 908 sec: 36268 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27375, Min=24304, Avg=24976.4, 90=25215, 99=25423, 99.9=27375, 99.99=27375] 
2020-04-06 13:21:26:396 918 sec: 36669 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=27599, Min=24336, Avg=24952.48, 90=25183, 99=25423, 99.9=27599, 99.99=27599] 
2020-04-06 13:21:36:396 928 sec: 37069 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=25567, Min=24320, Avg=24962.48, 90=25199, 99=25375, 99.9=25567, 99.99=25567] 
2020-04-06 13:21:46:396 938 sec: 37468 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35455, Min=24480, Avg=25031.26, 90=25231, 99=26287, 99.9=35455, 99.99=35455] 
2020-04-06 13:21:56:396 948 sec: 37868 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27375, Min=24480, Avg=25007.4, 90=25231, 99=25967, 99.9=27375, 99.99=27375] 
2020-04-06 13:22:06:396 958 sec: 38268 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27071, Min=24384, Avg=24963.48, 90=25183, 99=25391, 99.9=27071, 99.99=27071] 
2020-04-06 13:22:16:396 968 sec: 38668 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27215, Min=24384, Avg=25005.12, 90=25231, 99=26271, 99.9=27215, 99.99=27215] 
2020-04-06 13:22:26:396 978 sec: 39068 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=25823, Min=24480, Avg=24973.36, 90=25231, 99=25535, 99.9=25823, 99.99=25823] 
