2020-04-06 12:34:13:990 499 sec: 19922 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35487, Min=24448, Avg=24975.9, 90=25183, 99=26079, 99.9=35487, 99.99=35487] 
2020-04-06 12:34:23:990 509 sec: 20322 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35327, Min=24384, Avg=25001.34, 90=25183, 99=26159, 99.9=35327, 99.99=35327] 
2020-04-06 12:34:33:990 519 sec: 20721 operations; 39.9 current ops/sec; est completion in 2 days 21 hours [READ: Count=399, Max=35327, Min=24368, Avg=24993.7, 90=25151, 99=34879, 99.9=35327, 99.99=35327] 
2020-04-06 12:34:43:990 529 sec: 21122 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=35327, Min=24240, Avg=24914.05, 90=25135, 99=26511, 99.9=35327, 99.99=35327] 
2020-04-06 12:34:53:990 539 sec: 21523 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=34687, Min=24304, Avg=24961.14, 90=25167, 99=25631, 99.9=34687, 99.99=34687] 
2020-04-06 12:35:03:990 549 sec: 21925 operations; 40.2 current ops/sec; est completion in 2 days 21 hours [READ: Count=402, Max=25343, Min=24192, Avg=24873.19, 90=25103, 99=25215, 99.9=25343, 99.99=25343] 
2020-04-06 12:35:13:990 559 sec: 22325 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=27583, Min=24320, Avg=24935.12, 90=25151, 99=25887, 99.9=27583, 99.99=27583] 
2020-04-06 12:35:23:990 569 sec: 22726 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=25855, Min=24192, Avg=24941.95, 90=25151, 99=25583, 99.9=25855, 99.99=25855] 
2020-04-06 12:35:33:990 579 sec: 23126 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35231, Min=24512, Avg=24963.42, 90=25167, 99=25327, 99.9=35231, 99.99=35231] 
2020-04-06 12:35:43:990 589 sec: 23527 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=27423, Min=24224, Avg=24934.28, 90=25167, 99=26335, 99.9=27423, 99.99=27423] 
2020-04-06 12:35:53:990 599 sec: 23928 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35615, Min=24320, Avg=24922.33, 90=25119, 99=25471, 99.9=35615, 99.99=35615] 
2020-04-06 12:36:03:990 609 sec: 24328 operations; 40 current ops/sec; est completion in 2 days 21 hours [READ: Count=400, Max=35551, Min=24320, Avg=24959.9, 90=25135, 99=25455, 99.9=35551, 99.99=35551] 
2020-04-06 12:36:13:990 619 sec: 24729 operations; 40.1 current ops/sec; est completion in 2 days 21 hours [READ: Count=401, Max=35103, Min=24416, Avg=24936.26, 90=25135, 99=25359, 99.9=35103, 99.99=35103] 
