2020-04-06 19:15:03:020 400 sec: 63273 operations; 159 current ops/sec; est completion in 17 hours 27 minutes [READ: Count=1590, Max=14719, Min=5556, Avg=6278.67, 90=6395, 99=8695, 99.9=14143, 99.99=14719] 
2020-04-06 19:15:13:020 410 sec: 64860 operations; 158.68 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1587, Max=14247, Min=5568, Avg=6295.59, 90=6395, 99=9207, 99.9=14175, 99.99=14247] 
2020-04-06 19:15:23:020 420 sec: 66446 operations; 158.62 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1586, Max=14455, Min=5424, Avg=6296.12, 90=6403, 99=9143, 99.9=14319, 99.99=14455] 
2020-04-06 19:15:33:020 430 sec: 68036 operations; 159 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1590, Max=14447, Min=5616, Avg=6281.18, 90=6383, 99=9167, 99.9=14167, 99.99=14447] 
2020-04-06 19:15:43:020 440 sec: 69618 operations; 158.2 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1582, Max=14455, Min=5688, Avg=6312.79, 90=6395, 99=9279, 99.9=14391, 99.99=14455] 
2020-04-06 19:15:53:020 450 sec: 71204 operations; 158.6 current ops/sec; est completion in 17 hours 26 minutes [READ: Count=1587, Max=14287, Min=5628, Avg=6293.17, 90=6395, 99=9135, 99.9=14167, 99.99=14287] 
2020-04-06 19:16:03:020 460 sec: 72785 operations; 158.1 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1581, Max=14447, Min=5520, Avg=6316.33, 90=6415, 99=9135, 99.9=14383, 99.99=14447] 
2020-04-06 19:16:13:020 470 sec: 74382 operations; 159.7 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1596, Max=14351, Min=5660, Avg=6256.51, 90=6387, 99=7519, 99.9=13871, 99.99=14351] 
2020-04-06 19:16:23:020 480 sec: 75965 operations; 158.3 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1583, Max=14335, Min=5692, Avg=6306.22, 90=6387, 99=9223, 99.9=14183, 99.99=14335] 
2020-04-06 19:16:33:020 490 sec: 77550 operations; 158.5 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1585, Max=14479, Min=5764, Avg=6302.22, 90=6399, 99=9143, 99.9=14311, 99.99=14479] 
2020-04-06 19:16:43:020 500 sec: 79129 operations; 157.9 current ops/sec; est completion in 17 hours 25 minutes [READ: Count=1579, Max=16991, Min=5516, Avg=6321.58, 90=6407, 99=9991, 99.9=14375, 99.99=16991] 
2020-04-06 19:16:53:020 510 sec: 80734 operations; 160.5 current ops/sec; est completion in 17 hours 24 minutes [READ: Count=1605, Max=14407, Min=5432, Avg=6223.6, 90=6375, 99=8327, 99.9=14079, 99.99=14407] 
